rank,location,lat,lon,type,category,info,reference
1,China,35.86166,104.195397,animal,Animal Rights,"China currently has no animal-welfare laws. Many farming methods that the EU is trying to reduce or eliminate are commonplace in China, including gestation crates, battery cages, early weaning of cows, and clipping of ears/beaks/tails.",https://en.wikipedia.org/wiki/Animal_welfare_and_rights_in_China
2,Australia,-25.274398,133.775136,animal,Animal Rights,"Live animal export is an important part of Australia's economy. Being shipped over long distances is very stressful for the animals, which increases their suceptibility to diseases.",https://www.hsi.org.au/assets/user/default/June_2014_-_Live_Animal_Export_is_Unethical_-_P_Kerkenezov.pdf
3,France,44.734828,0.408447,animal,Animal Rights,"In 2001, EU legislation imposed a ban on sow stalls. A sow stall is a type of metal enclosure  in which female pigs are kept during pregancy. The size does not permit them to move freely. Unfortunately, France and some other countries are still not complying with this law.",http://www.thepigsite.com/swinenews/38788/eu-countries-still-not-complying-with-sow-stall-ban-after-two-years/
4,"Zoeterwoude, Netherlands",52.120831,4.51657,health,Health,"In 2014, there was an outbreak of bird flu in a poultry farm in Zoeterwoude, probably brought by birds migrating from Asia. Hundreds of people worldwide have died because of bird flu. Emerging diseases, such as highly pathogenic avian influenza, are closely linked to changes in the livestock production.",http://www.theguardian.com/world/2014/nov/30/bird-flu-netherlands-h5n8
5,North Atlantic Ocean,48.978078,-24.896729,climate,Greenhouse Gas Emissions,"Climate change makes the sea level rise. The lowest point of the Netherlands is in Nieuwerkerk aan den IJssel. It's almost seven meters below sea level, which makes it very susceptible to rising sea levels. Livestock and it's indirect consequences contribute to a large part of the world's greenhouse gas emissions and are a major driver of global warming.",http://www.cowspiracy.com/facts/
6,"Guangzohou, China",23.12911,113.264385,health,Health,"In 2015, researchers from the South China Agricultural University discovered Colistin resistance in animals that has spread over the entire globe ever since. Colistin is an antibiotic critical for human health. The widespread use of antibiotics in livestock farming makes many antibiotics useless.",http://phenomena.nationalgeographic.com/2015/11/21/mcr-gene-colistin/
7,USA,42.2842,-74.375914,health,Health,"Meat provides important proteins to the human body. But overconsumption of animal-source foods &ndash; particularly meat, milk and eggs &ndash; has been linked to heart disease and other chronic conditions. In the USA, more than 90 kg of meat per year and person are consumed, way more than recommended!",http://news.stanford.edu/news/2010/march/livestock-revolution-environment-031610.html
8,"Waikato, New Zealand",-38.059426,175.437557,climate,Greenhouse Gas Emissions,"In New Zealand, almost half of the greenhouse gas emissions are associated with agriculture that plays an important role for their economy. A large fraction of this is due to the lifestock industry.",https://en.wikipedia.org/wiki/Environmental_impact_of_meat_production#Greenhouse_gas_emissions
9,USA,33.233858,-84.054441,climate,Greenhouse Gas Emissions,"US methane emissions from livestock and natural gas are nearly equal. Methane is a greenhouse gas with a global warming potential a lot higher than that of CO<sub>2</sub>. Domestic livestock produce large amounts of methane as part of their normal digestive process. Also, when animals' manure is stored or managed in lagoons or holding tanks, methane is produced.",http://www.cowspiracy.com/facts/
10,"Mato Grosso, Brasil",-14.54628,-52.794109,land,Landuse and Deforestation,"Production of animal feed consumes about one-third of total arable land. Especially in Brazil, large parts of the Amazon rainforest are cut down for cattle ranching and growing animal feed, mainly soy. This leads to greenhouse gas emissions, land degradation and loss in biodiversity.",https://woods.stanford.edu/environmental-venture-projects/consequences-increased-global-meat-consumption-global-environment
